origen,destino,nombre,longitud,velocidad_max,tipo_via,sentido_unico,vulnerabilidad
108009619,108009621,Avenida Aurelio Miró Quesada,24.12190966481491,60,secondary,False,0.4
108009619,262728248,Avenida Aurelio Miró Quesada,32.90430015627383,60,secondary,False,0.4
108009621,108009622,Avenida Aurelio Miró Quesada,56.67158840922493,60,secondary,False,0.4
108009621,108009619,Avenida Aurelio Miró Quesada,24.12190966481491,60,secondary,False,0.4
108009621,262730039,Calle Country,179.8104167783545,40,tertiary,True,0.6
108009622,108009621,Avenida Aurelio Miró Quesada,56.67158840922493,60,secondary,False,0.4
108009622,262730169,Avenida Aurelio Miró Quesada,269.2136964192446,60,secondary,False,0.4
108009631,108041441,Avenida Las Flores,101.28862263685016,60,secondary,False,0.4
108009631,108009632,Avenida Aurelio Miró Quesada,118.9290680871971,60,secondary,False,0.4
108009631,262730169,Avenida Aurelio Miró Quesada,94.83288830530016,60,secondary,False,0.4
108009632,108037794,Calle Los Laureles,135.91490604996577,30,residential,False,0.8
108009632,108009633,Avenida Aurelio Miró Quesada,119.5864540208266,60,secondary,False,0.4
108009632,108009631,Avenida Aurelio Miró Quesada,118.9290680871971,60,secondary,False,0.4
108009633,108037792,Calle Los Nogales,137.14115723950775,30,residential,False,0.8
108009633,108009634,Avenida Aurelio Miró Quesada,117.77615950823262,60,secondary,False,0.4
108009633,108009632,Avenida Aurelio Miró Quesada,119.5864540208266,60,secondary,False,0.4
108009634,108037790,Calle Los Cedros,136.94286492124527,40,residential,False,0.8
108009634,262731416,Avenida Aurelio Miró Quesada,65.22164235933116,60,secondary,False,0.4
108009634,108009633,Avenida Aurelio Miró Quesada,117.77615950823262,60,secondary,False,0.4
108009635,262731416,Avenida Aurelio Miró Quesada,19.58660736499452,60,secondary,False,0.4
108009635,4344823100,Avenida El Rosario,17.397116432148426,40,tertiary,True,0.6
108009635,262732037,Avenida Aurelio Miró Quesada,257.5356584959439,60,secondary,False,0.4
108009636,262732037,Avenida Aurelio Miró Quesada,16.80731620922969,60,secondary,False,0.4
108009636,3246794221,Avenida Santo Toribio,22.89946427849049,60,tertiary,True,0.6
108009636,108009637,Avenida Aurelio Miró Quesada,243.4714918360866,60,secondary,False,0.4
108009637,108009636,Avenida Aurelio Miró Quesada,243.4714918360866,60,secondary,False,0.4
108009637,108009638,Avenida Aurelio Miró Quesada,31.69257439925449,40,secondary,True,0.4
108009638,108030818,Avenida Camino Real,8.223616905693255,40,secondary,True,0.4
108013931,108037782,Calle Lizardo Alzamora-Oeste,224.0069718896858,40,residential,True,0.8
